"Sticker ID","Type","Name/Description","Country/Category","Club","Position",DOB
"RSA3","Player","Sipho Chaine","South Africa","Orlando Pirates","Goalkeeper","1996-12-14"
"RSA4","Player","Aubrey Modiba","South Africa","Mamelodi Sundowns","Defender","1995-07-22"
"RSA5","Player","Samukele Kabini","South Africa","Orlando Pirates","Defender","2004-03-15"
"RSA6","Player","Mbekezeli Mbokazi","South Africa","Orlando Pirates","Defender","2005-09-19"
"RSA7","Player","Khulumani Ndamane","South Africa","Mamelodi Sundowns","Defender","2004-02-05"
"RSA8","Player","Siyabonga Ngezana","South Africa","FCSB","Defender","1997-07-15"
"RSA9","Player","Khuliso Mudau","South Africa","Mamelodi Sundowns","Defender","1995-04-26"
"RSA10","Player","Nkosinathi Sibisi","South Africa","Orlando Pirates","Defender","1995-09-22"
"RSA11","Player","Teboho Mokoena","South Africa","Mamelodi Sundowns","Midfielder","1997-01-24"
"RSA12","Player","Thalente Mbatha","South Africa","Orlando Pirates","Midfielder","2000-03-06"
"RSA13","Photo","South Africa Team Photo","South Africa","","",""
"RSA14","Player","Bathusi Aubaas","South Africa","Mamelodi Sundowns","Midfielder","1995-05-14"
"RSA15","Player","Yaya Sithole","South Africa","CD Tondela","Midfielder","1999-05-25"
"RSA16","Player","Sipho Mbule","South Africa","Zakho SC","Midfielder","1998-05-22"
"RSA17","Player","Lyle Foster","South Africa","Burnley FC","Forward","2000-09-03"
"RSA18","Player","Iqraam Rayners","South Africa","Mamelodi Sundowns","Forward","1995-12-19"
"RSA19","Player","Mohau Nkota","South Africa","Al-Ettifaq","Midfielder","2004-11-09"
"RSA20","Player","Oswin Appollis","South Africa","Orlando Pirates","Midfielder","2001-08-25"
"KOR1","Badge","South Korea Team Crest","South Korea","","",""
"KOR2","Player","Jo Hyeon-woo","South Korea","Ulsan HD","Goalkeeper","1991-09-25"
"KOR3","Player","Kim Seung-gyu","South Korea","FC Tokyo","Goalkeeper","1990-09-30"
"KOR4","Player","Kim Min-jae","South Korea","Bayern Munich","Defender","1996-11-15"
"KOR5","Player","Cho Yu-min","South Korea","Sharjah FC","Defender","1996-11-17"
"KOR6","Player","Seol Young-woo","South Korea","Crvena zvezda","Defender","1998-12-05"
"KOR7","Player","Lee Han-beom","South Korea","FC Midtjylland","Defender","2002-06-17"
"KOR8","Player","Lee Tae-seok","South Korea","Austria Wien","Defender","2002-07-28"
"KOR9","Player","Lee Myung-jae","South Korea","Daejeon Hana Citizen","Defender","1993-11-04"
"KOR10","Player","Lee Jae-sung","South Korea","1. FSV Mainz 05","Midfielder","1992-08-10"
"KOR11","Player","Hwang In-beom","South Korea","Feyenoord","Midfielder","1996-09-20"
"KOR12","Player","Lee Kang-in","South Korea","Paris Saint-Germain","Midfielder","2001-02-19"
"KOR13","Photo","South Korea Team Photo","South Korea","","",""
"KOR14","Player","Paik Seung-ho","South Korea","Birmingham City","Midfielder","1997-03-17"
"KOR15","Player","Jens Castrop","South Korea","Borussia Mönchengladbach","Midfielder","2003-07-29"
"KOR16","Player","Lee Dong-gyeong","South Korea","Ulsan HD","Midfielder","1997-09-20"
"KOR17","Player","Cho Gue-sung","South Korea","FC Midtjylland","Forward","1998-01-25"
"KOR18","Player","Son Heung-min","South Korea","Los Angeles FC","Forward","1992-07-08"
"KOR19","Player","Hwang Hee-chan","South Korea","Wolverhampton Wanderers","Forward","1996-01-26"
"KOR20","Player","Oh Hyeon-gyu","South Korea","Beşiktaş","Forward","2001-04-26"
"CZE1","Badge","Czechia Team Crest","Czechia","","",""
"CZE2","Player","Matěj Kovář","Czechia","PSV Eindhoven","Goalkeeper","2000-05-17"
"CZE3","Player","Jindřich Staněk","Czechia","Slavia Prague","Goalkeeper","1996-04-27"
"CZE4","Player","Ladislav Krejčí","Czechia","Wolverhampton Wanderers","Defender","1999-04-20"
"CZE5","Player","Vladimír Coufal","Czechia","TSG Hoffenheim","Defender","1992-08-22"
"CZE6","Player","Jaroslav Zelený","Czechia","Sparta Prague","Defender","1992-08-20"
"CZE7","Player","Tomáš Holeš","Czechia","Slavia Prague","Defender","1993-03-31"
"CZE8","Player","David Zima","Czechia","Slavia Prague","Defender","2000-11-08"
"CZE9","Player","Michal Sadílek","Czechia","Slavia Prague","Midfielder","1999-05-31"
"CZE10","Player","Lukáš Provod","Czechia","Slavia Prague","Midfielder","1996-10-23"
"CZE11","Player","Lukáš Červ","Czechia","Viktoria Plzeň","Midfielder","2001-04-17"
"CZE12","Player","Tomáš Souček","Czechia","West Ham United","Midfielder","1995-02-27"
"CZE13","Photo","Czechia Team Photo","Czechia","","",""
"CZE14","Player","Pavel Šulc","Czechia","Olympique Lyonnais","Midfielder","2000-12-29"
"CZE15","Player","Matěj Vydra","Czechia","Viktoria Plzeň","Forward","1992-05-01"
"CZE16","Player","Vasil Kušej","Czechia","Slavia Prague","Forward","2000-05-24"
"CZE17","Player","Tomáš Chorý","Czechia","Slavia Prague","Forward","1995-01-26"
"CZE18","Player","Václav Černý","Czechia","Rangers","Forward","1997-10-17"
"CZE19","Player","Adam Hložek","Czechia","TSG Hoffenheim","Forward","2002-07-25"
"CZE20","Player","Patrik Schick","Czechia","Bayer Leverkusen","Forward","1996-01-24"
"CAN1","Badge","Canada Team Crest","Canada","","",""
"CAN2","Player","Dayne St. Clair","Canada","Inter Miami","Goalkeeper","1997-05-09"
"CAN3","Player","Alphonso Davies","Canada","Bayern Munich","Defender","2000-11-02"
"CAN4","Player","Alistair Johnston","Canada","Celtic","Defender","1998-10-08"
"CAN5","Player","Samuel Adekugbe","Canada","Vancouver Whitecaps","Defender","1995-01-16"
"CAN6","Player","Richie Laryea","Canada","Toronto FC","Defender","1995-01-07"
"CAN7","Player","Derek Cornelius","Canada","Rangers","Defender","1997-11-25"
"CAN8","Player","Moïse Bombito","Canada","OGC Nice","Defender","2000-03-30"
"CAN9","Player","Kamal Miller","Canada","Portland Timbers","Defender","1997-05-16"
"CAN10","Player","Stephen Eustáquio","Canada","Los Angeles FC","Midfielder","1996-12-21"
"CAN11","Player","Ismaël Koné","Canada","Sassuolo","Midfielder","2002-06-16"
"CAN12","Player","Jonathan Osorio","Canada","Toronto FC","Midfielder","1992-06-12"
"CAN13","Photo","Canada Team Photo","Canada","","",""
"CAN14","Player","Jacob Shaffelburg","Canada","Los Angeles FC","Forward","1999-11-26"
"CAN15","Player","Mathieu Choinière","Canada","Los Angeles FC","Midfielder","1999-02-07"
"CAN16","Player","Niko Sigur","Canada","Hajduk Split","Midfielder","2004-05-17"
"CAN17","Player","Tajon Buchanan","Canada","Villarreal CF","Midfielder","1999-02-08"
"CAN18","Player","Liam Millar","Canada","Hull City","Forward","1999-09-27"
"CAN19","Player","Cyle Larin","Canada","Southampton","Forward","1995-04-17"
"CAN20","Player","Jonathan David","Canada","Juventus","Forward","2000-01-14"
"BIH1","Badge","Bosnia and Herzegovina Team Crest","Bosnia and Herzegovina","","",""
"BIH2","Player","Nikola Vasilj","Bosnia and Herzegovina","St. Pauli","Goalkeeper","1995-02-02"
"BIH3","Player","Amar Dedić","Bosnia and Herzegovina","Olympique Marseille","Defender","2002-10-18"
"BIH4","Player","Sead Kolašinac","Bosnia and Herzegovina","Atalanta","Defender","1993-06-20"
"BIH5","Player","Tarik Muharemović","Bosnia and Herzegovina","Leeds United","Defender","2003-02-28"
"BIH6","Player","Nihad Mujakić","Bosnia and Herzegovina","Partizan","Defender","1998-04-19"
"BIH7","Player","Nikola Katić","Bosnia and Herzegovina","FC Zürich","Defender","1996-10-10"
"BIH8","Player","Amir Hadžiahmetović","Bosnia and Herzegovina","Beşiktaş","Midfielder","1997-03-08"
"BIH9","Player","Benjamin Tahirović","Bosnia and Herzegovina","Brøndby","Midfielder","2003-03-03"
"BIH10","Player","Armin Gigović","Bosnia and Herzegovina","Holstein Kiel","Midfielder","2002-03-06"
"BIH11","Player","Ivan Šunjić","Bosnia and Herzegovina","Pafos","Midfielder","1996-11-09"
"BIH12","Player","Ivan Bašić","Bosnia and Herzegovina","VfB Bochum","Midfielder","2002-04-30"
"BIH13","Photo","Bosnia and Herzegovina Team Photo","Bosnia and Herzegovina","","",""
"BIH14","Player","Dženis Burnić","Bosnia and Herzegovina","Karlsruher SC","Midfielder","1998-05-22"
"BIH15","Player","Esmir Bajraktarević","Bosnia and Herzegovina","PSV Eindhoven","Forward","2005-03-10"
"BIH16","Player","Amar Memić","Bosnia and Herzegovina","Viktoria Plzeň","Midfielder","2001-01-20"
"BIH17","Player","Ermedin Demirović","Bosnia and Herzegovina","VfB Stuttgart","Forward","1998-03-25"
"BIH18","Player","Edin Džeko","Bosnia and Herzegovina","Schalke 04","Forward","1986-03-17"
"BIH19","Player","Samed Baždar","Bosnia and Herzegovina","Jagiellonia Białystok","Forward","2004-01-31"
"BIH20","Player","Haris Tabacovič","Bosnia and Herzegovina","Borussia Mönchengladbach","Midfielder","1994-06-20"
"QAT1","Badge","Qatar Team Crest","Qatar","","",""
"QAT2","Player","Meshaal Barsham","Qatar","Al-Sadd","Goalkeeper","1998-02-14"
"QAT3","Player","Sultan Albrake","Qatar","Al-Duhail","Defender","1996-04-07"
"QAT4","Player","Lucas Mendes","Qatar","Al-Wakrah","Defender","1990-07-03"
"QAT5","Player","Homam Ahmed","Qatar","Cultural Leonesa","Defender","1999-08-25"
"QAT6","Player","Boualem Khoukhi","Qatar","Al-Sadd","Defender","1990-07-09"
"QAT7","Player","Pedro Miguel","Qatar","Al-Sadd","Defender","1990-08-06"
"QAT8","Player","Tarek Salman","Qatar","Al-Sadd","Defender","1997-12-05"
"QAT9","Player","Mohammed Mannai","Qatar","Al-Shamal","Midfielder","1998-08-28"
"QAT10","Player","Karim Boudiaf","Qatar","Al-Duhail","Midfielder","1990-09-16"
"QAT11","Player","Assim Madibo","Qatar","Al-Wakrah","Midfielder","1996-06-22"
"QAT12","Player","Hamed Fatehi","Qatar","Al-Arabi","Midfielder","1993-09-18"
"QAT13","Photo","Qatar Team Photo","Qatar","","",""
"QAT14","Player","Mohammed Waad","Qatar","Al-Shamal","Midfielder","1999-09-16"
"QAT15","Player","Abdulaziz Hatem","Qatar","Al-Rayyan","Midfielder","1990-10-28"
"QAT16","Player","Hassan Al-Haydos","Qatar","Al-Sadd","Forward","1990-12-11"
"QAT17","Player","Edmílson Junior","Qatar","Al-Duhail","Forward","1994-08-19"
"QAT18","Player","Akram Hassan Afif","Qatar","Al-Sadd","Forward","1996-11-18"
"QAT19","Player","Ahmed Al-Ganehi","Qatar","Al-Gharafa","Forward","2000-09-22"
"QAT20","Player","Almoez Ali","Qatar","Al-Duhail","Forward","1996-08-19"
"SUI1","Badge","Switzerland Team Crest","Switzerland","","",""
"SUI2","Player","Gregor Kobel","Switzerland","Borussia Dortmund","Goalkeeper","1997-12-06"
"SUI3","Player","Yvon Mvogo","Switzerland","FC Lorient","Goalkeeper","1994-06-06"
"SUI4","Player","Manuel Akanji","Switzerland","Inter Milan","Defender","1995-07-19"
"SUI5","Player","Ricardo Rodríguez","Switzerland","Real Betis","Defender","1992-08-25"
"SUI6","Player","Nico Elvedi","Switzerland","Borussia Mönchengladbach","Defender","1996-09-30"
"SUI7","Player","Aurèle Amenda","Switzerland","Eintracht Frankfurt","Defender","2003-08-31"
"SUI8","Player","Silvan Widmer","Switzerland","1. FSV Mainz 05","Defender","1993-03-05"
"SUI9","Player","Granit Xhaka","Switzerland","Sunderland AFC","Midfielder","1992-09-27"
"SUI10","Player","Denis Zakaria","Switzerland","AS Monaco","Midfielder","1996-11-20"
"SUI11","Player","Remo Freuler","Switzerland","Bologna FC","Midfielder","1992-04-15"
"SUI12","Player","Fabian Rieder","Switzerland","FC Augsburg","Midfielder","2002-02-16"
"SUI13","Photo","Switzerland Team Photo","Switzerland","","",""
"SUI14","Player","Ardon Jashari","Switzerland","AC Milan","Midfielder","2002-07-30"
"SUI15","Player","Johan Manzambi","Switzerland","SC Freiburg","Midfielder","2005-10-14"
"SUI16","Player","Michel Aebischer","Switzerland","Pisa SC","Midfielder","1995-01-06"
"SUI17","Player","Breel Embolo","Switzerland","Stade Rennais","Forward","1997-02-14"
"SUI18","Player","Rubén Vargas","Switzerland","Sevilla FC","Forward","1998-08-05"
"SUI19","Player","Dan Ndoye","Switzerland","Nottingham Forest","Forward","2000-10-25"
"SUI20","Player","Zeki Amdouni","Switzerland","Burnley FC","Forward","2000-12-04"
"BRA1","Badge","Brazil Team Crest","Brazil","","",""
"BRA2","Player","Alisson","Brazil","Liverpool FC","Goalkeeper","1992-10-02"
"BRA3","Player","Bento","Brazil","Al-Nassr","Goalkeeper","1999-06-10"
"BRA4","Player","Marquinhos","Brazil","Paris Saint-Germain","Defender","1994-05-14"
"BRA5","Player","Éder Militão","Brazil","Real Madrid","Defender","1998-01-18"
"BRA6","Player","Gabriel Magalhães","Brazil","Arsenal FC","Defender","1997-12-19"
"BRA7","Player","Danilo","Brazil","Flamengo","Defender","1991-04-29"
"BRA8","Player","Wesley","Brazil","Flamengo","Defender","2003-09-06"
"BRA9","Player","Lucas Paquetá","Brazil","Flamengo","Midfielder","1997-08-27"
"BRA10","Player","Casemiro","Brazil","Manchester United","Midfielder","1992-02-23"
"BRA11","Player","Bruno Guimarães","Brazil","Newcastle United","Midfielder","1997-11-16"
"BRA12","Player","Luiz Henrique","Brazil","Zenit Saint Petersburg","Forward","2000-01-02"
"BRA13","Photo","Brazil Team Photo","Brazil","","",""
"BRA14","Player","Vinícius Júnior","Brazil","Real Madrid","Forward","2000-07-12"
"BRA15","Player","Rodrygo","Brazil","Real Madrid","Forward","2001-01-09"
"BRA16","Player","João Pedro","Brazil","Chelsea","Forward","2001-09-26"
"BRA17","Player","Matheus Cunha","Brazil","Manchester United","Forward","1999-05-27"
"BRA18","Player","Gabriel Martinelli","Brazil","Arsenal FC","Forward","2001-06-18"
"BRA19","Player","Raphinha","Brazil","FC Barcelona","Forward","1996-12-14"
"BRA20","Player","Estêvão","Brazil","Chelsea","Forward","2007-04-24"
"'MAR1","Badge","Morocco Team Crest","Morocco","","",""
"'MAR2","Player","Yassine Bounou","Morocco","Al-Hilal","Goalkeeper","1991-04-05"
"'MAR3","Player","Munir El Kajoui","Morocco","RS Berkane","Goalkeeper","1989-05-10"
"'MAR4","Player","Achraf Hakimi","Morocco","Paris Saint-Germain","Defender","1998-11-04"
"'MAR5","Player","Noussair Mazraoui","Morocco","Manchester United","Defender","1997-11-14"
"'MAR6","Player","Nayef Aguerd","Morocco","Olympique Marseille","Defender","1996-03-30"
"'MAR7","Player","Romain Saïss","Morocco","Al-Sadd","Defender","1990-03-26"
"'MAR8","Player","Jawad El Yamiq","Morocco","Al-Wehda","Defender","1992-02-29"
"'MAR9","Player","Adam Masina","Morocco","Torino FC","Defender","1994-01-02"
"'MAR10","Player","Sofyan Amrabat","Morocco","Real Betis","Midfielder","1996-08-21"
"'MAR11","Player","Azzedine Ounahi","Morocco","Girona FC","Midfielder","2000-04-19"
"'MAR12","Player","Eliesse Ben Seghir","Morocco","Bayer Leverkusen","Forward","2005-02-16"
"'MAR13","Photo","Morocco Team Photo","Morocco","","",""
"'MAR14","Player","Bilal El Khannouss","Morocco","VfB Stuttgart","Midfielder","2004-05-10"
"'MAR15","Player","Ismael Saibari","Morocco","PSV Eindhoven","Forward","2001-01-28"
"'MAR16","Player","Youssef En-Nesyri","Morocco","Al-Ittihad","Forward","1997-06-01"
"'MAR17","Player","Abde Ezzalzouli","Morocco","Real Betis","Forward","2001-12-17"
"'MAR18","Player","Soufiane Rahimi","Morocco","Al-Ain","Forward","1996-06-02"
"'MAR19","Player","Brahim Díaz","Morocco","Real Madrid","Midfielder","1999-08-03"
"'MAR20","Player","Ayoub El Kaabi","Morocco","Olympiacos FC","Forward","1993-06-25"
"HAI1","Badge","Haiti Team Crest","Haiti","","",""
"HAI2","Player","Johny Placide","Haiti","SC Bastia","Goalkeeper","1988-01-29"
"HAI3","Player","Carlens Arcus","Haiti","Angers SCO","Defender","1996-06-28"
"HAI4","Player","Martin Expérience","Haiti","Nancy","Defender","1999-03-09"
"HAI5","Player","Jean-Kévin Duverne","Haiti","KAA Gent","Defender","1997-07-12"
"HAI6","Player","Ricardo Adé","Haiti","LDU Quito","Defender","1990-05-21"
"HAI7","Player","Duke Lacroix","Haiti","Colorado Springs Switchbacks FC","Defender","1993-11-14"
"HAI8","Player","Garven Metusala","Haiti","Colorado Springs Switchbacks FC","Defender","2000-03-16"
"HAI9","Player","Hannes Delcroix","Haiti","Lugano","Defender","1999-02-28"
"HAI10","Player","Leverton Pierre","Haiti","Vizela","Midfielder","1998-07-10"
"HAI11","Player","Danley Jean Jacques","Haiti","Philadelphia Union","Midfielder","2000-05-14"
"HAI12","Player","Jean-Ricner Bellegarde","Haiti","Wolverhampton Wanderers","Midfielder","1998-06-27"
"HAI13","Photo","Haiti Team Photo","Haiti","","",""
"HAI14","Player","Christopher Attys","Haiti","Triestina","Midfielder","2001-03-13"
"HAI15","Player","Derrick Etienne Jr.","Haiti","Toronto FC","Forward","1996-11-25"
"HAI16","Player","Josué Casimir","Haiti","AJ Auxerre","Forward","2001-02-15"
"HAI17","Player","Ruben Providence","Haiti","Almere City","Forward","2001-07-21"
"HAI18","Player","Duckens Nazon","Haiti","Esteghlal FC","Forward","1994-04-07"
"HAI19","Player","Louicius Deedson","Haiti","Odense Boldklub","Forward","2000-02-11"
"HAI20","Player","Frantzdy Pierrot","Haiti","Çaykur Rizespor","Forward","1995-03-29"
"SCO1","Badge","Scotland Team Crest","Scotland","","",""
"SCO2","Player","Angus Gunn","Scotland","Nottingham Forest","Goalkeeper","1996-01-22"
"SCO3","Player","Jack Hendry","Scotland","Al-Ettifaq","Defender","1995-05-07"
"SCO4","Player","Kieran Tierney","Scotland","Celtic","Defender","1997-06-05"
"SCO5","Player","Aaron Hickey","Scotland","Brentford FC","Defender","2002-06-10"
"SCO6","Player","Andrew Robertson","Scotland","Liverpool FC","Defender","1994-03-11"
"SCO7","Player","Scott McKenna","Scotland","Dinamo Zagreb","Defender","1996-11-12"
"SCO8","Player","John Souttar","Scotland","Rangers","Defender","1996-09-25"
"SCO9","Player","Anthony Ralston","Scotland","Celtic","Defender","1998-11-16"
"SCO10","Player","Grant Hanley","Scotland","Hibernian","Defender","1991-11-20"
"SCO11","Player","Scott McTominay","Scotland","SSC Napoli","Midfielder","1996-12-08"
"SCO12","Player","Billy Gilmour","Scotland","SSC Napoli","Midfielder","2001-06-11"
"SCO13","Photo","Scotland Team Photo","Scotland","","",""
"SCO14","Player","Lewis Ferguson","Scotland","Bologna FC","Midfielder","1999-08-24"
"SCO15","Player","Ryan Christie","Scotland","AFC Bournemouth","Midfielder","1995-02-22"
"SCO16","Player","Kenny McLean","Scotland","Norwich City","Midfielder","1992-01-08"
"SCO17","Player","John McGinn","Scotland","Aston Villa","Midfielder","1994-10-18"
"SCO18","Player","Lyndon Dykes","Scotland","Birmingham City","Forward","1995-10-07"
"SCO19","Player","Ché Adams","Scotland","Torino FC","Forward","1996-07-13"
"SCO20","Player","Ben Gannon-Doak","Scotland","AFC Bournemouth","Forward","2005-11-01"
"USA1","Badge","USA Team Crest","United States","","",""
"USA2","Player","Matt Freese","United States","New York City FC","Goalkeeper","1998-09-04"
"USA3","Player","Chris Richards","United States","Crystal Palace","Defender","2000-03-28"
"USA4","Player","Tim Ream","United States","Charlotte FC","Defender","1987-10-05"
"USA5","Player","Mark McKenzie","United States","Toulouse","Defender","1999-02-25"
"USA6","Player","Alex Freeman","United States","Villarreal CF","Defender","2004-11-09"
"USA7","Player","Antonee Robinson","United States","Fulham","Defender","1997-08-08"
"USA8","Player","Tyler Adams","United States","AFC Bournemouth","Midfielder","1999-02-14"
"USA9","Player","Tanner Tessmann","United States","Olympique Lyonnais","Midfielder","2001-09-24"
"USA10","Player","Weston McKennie","United States","Juventus","Midfielder","1998-08-28"
"USA11","Player","Cristian Roldan","United States","Seattle Sounders FC","Midfielder","1995-06-03"
"USA12","Player","Timothy Weah","United States","Olympique Marseille","Forward","2000-02-22"
"USA13","Photo","USA Team Photo","United States","","",""
"USA14","Player","Diego Luna","United States","Real Salt Lake","Midfielder","2003-03-27"
"USA15","Player","Malik Tillman","United States","Bayer Leverkusen","Midfielder","2002-05-28"
"USA16","Player","Christian Pulisic","United States","AC Milan","Forward","1998-09-18"
"USA17","Player","Brenden Aaronson","United States","Leeds United","Midfielder","2000-10-22"
"USA18","Player","Ricardo Pepi","United States","PSV Eindhoven","Forward","2003-01-09"
"USA19","Player","Haji Wright","United States","Coventry City","Forward","1998-03-27"
"USA20","Player","Folarin Balogun","United States","AS Monaco","Forward","2001-07-03"
"PAR1","Badge","Paraguay Team Crest","Paraguay","","",""
"PAR2","Player","Roberto Fernández","Paraguay","Leones del Norte","Goalkeeper","1988-03-04"
"PAR3","Player","Orlando Gill","Paraguay","San Lorenzo","Goalkeeper","2000-03-11"
"PAR4","Player","Gustavo Gómez","Paraguay","Palmeiras","Defender","1993-05-06"
"PAR5","Player","Fabián Balbuena","Paraguay","Grêmio","Defender","1991-08-23"
"PAR6","Player","Juan José Cáceres","Paraguay","Dynamo Moscow","Defender","2000-06-01"
"PAR7","Player","Omar Alderete","Paraguay","Getafe CF","Defender","1996-12-26"
"PAR8","Player","Júnior Alonso","Paraguay","Atlético Mineiro","Defender","1993-02-09"
"PAR9","Player","Mathías Villasanti","Paraguay","Grêmio","Midfielder","1997-01-24"
"PAR10","Player","Diego Gómez","Paraguay","Brighton & Hove Albion","Midfielder","2003-03-27"
"PAR11","Player","Damián Bobadilla","Paraguay","São Paulo","Midfielder","2001-07-11"
"PAR12","Player","Andrés Cubas","Paraguay","Vancouver Whitecaps","Midfielder","1996-05-22"
"PAR13","Photo","Paraguay Team Photo","Paraguay","","",""
"PAR14","Player","Matías Galarza Fonda","Paraguay","Atlanta United","Midfielder","2002-02-11"
"PAR15","Player","Julio Enciso","Paraguay","RC Strasbourg","Forward","2004-01-23"
"PAR16","Player","Alejandro Romero Gamarra","Paraguay","Al-Taawoun","Midfielder","1995-01-11"
"PAR17","Player","Miguel Almirón","Paraguay","Atlanta United","Forward","1994-02-10"
"PAR18","Player","Ramón Sosa","Paraguay","Nottingham Forest","Forward","1999-08-31"
"PAR19","Player","Ángel Romero","Paraguay","Corinthians","Forward","1992-07-04"
"PAR20","Player","Antonio Sanabria","Paraguay","Torino FC","Forward","1996-03-04"
"AUS1","Badge","Australia Team Crest","Australia","","",""
"AUS2","Player","Mathew Ryan","Australia","Levante","Goalkeeper","1992-04-08"
"AUS3","Player","Joe Gauci","Australia","Aston Villa","Goalkeeper","2000-07-04"
"AUS4","Player","Harry Souttar","Australia","Leicester City","Defender","1998-10-22"
"AUS5","Player","Alessandro Circati","Australia","Parma Calcio","Defender","2003-10-10"
"AUS6","Player","Jordan Bos","Australia","Feyenoord","Defender","2002-04-29"
"AUS7","Player","Aziz Behich","Australia","Melbourne City","Defender","1990-12-16"
"AUS8","Player","Cameron Burgess","Australia","Swansea City","Defender","1995-10-21"
"AUS9","Player","Lewis Miller","Australia","Motherwell","Defender","2000-08-24"
"AUS10","Player","Milos Degenek","Australia","APOEL","Defender","1994-04-28"
"AUS11","Player","Jackson Irvine","Australia","St. Pauli","Midfielder","1993-03-07"
"AUS12","Player","Riley McGree","Australia","Middlesbrough FC","Midfielder","1998-11-02"
"AUS13","Photo","Australia Team Photo","Australia","","",""
"AUS14","Player","Aiden O'Neill","Australia","New York City FC","Midfielder","1998-07-04"
"AUS15","Player","Connor Metcalfe","Australia","St. Pauli","Midfielder","1999-11-05"
"AUS16","Player","Patrick Yazbek","Australia","Nashville SC","Midfielder","2002-04-05"
"AUS17","Player","Craig Goodwin","Australia","Al-Wehda","Forward","1991-12-16"
"AUS18","Player","Kusini Yengi","Australia","Machida Zelvia","Forward","1999-01-15"
"AUS19","Player","Nestory Irankunda","Australia","Watford FC","Forward","2006-02-09"
"AUS20","Player","Mohamed Touré","Australia","Norwich City","Forward","2004-03-26"
"TUR1","Badge","Türkiye Team Crest","Türkiye","","",""
"TUR2","Player","Uğurcan Çakır","Türkiye","Galatasaray","Goalkeeper","1996-04-05"
"TUR3","Player","Mert Müldür","Türkiye","Fenerbahçe","Defender","1999-04-03"
"TUR4","Player","ZEKİ ÇELİK","Türkiye","AS Roma","Defender","1997-02-17"
